"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP4,JP11,JP1,JP2,JP3,JP6,JP7,JP8,JP9,JP10,JP12,JP13,JP14,JP15,JP5";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";15;"SolderJumper";;;
2;"R8,R5,R6,R7";"C_0805_2012Metric";4;"100k";;;
3;"C17,C22";"CP_Elec_5x5.8";2;"22u";;;
4;"D1,D2";"D_SOD-123";2;"1N5819HW";;;
5;"R32,R9,R10,R11,R13,R14,R15,R25,R26,R27,R29,R30,R31,R41,R42,R43,R45,R46,R47,R12,R16,R28,R44,R48";"C_0805_2012Metric";24;"49.9k";;;
6;"R40,R21,R22,R23,R37,R38,R39,R53,R54,R55,R24,R56";"C_0805_2012Metric";12;"13.3k";;;
7;"RV8,RV12,RV1,RV2,RV3,RV5,RV6,RV7,RV9,RV10,RV11,RV4";"Potentiometer_Bourns_3296W_Vertical";12;"R_POT_US";;;
8;"C1,C2,C3,C4";"C_0805_2012Metric";4;"6p";;;
9;"C5,C6,C7,C9,C10,C11,C13,C14,C15,C8,C12,C16";"C_0805_2012Metric";12;"10p";;;
10;"R1,R2,R3,R4";"C_0805_2012Metric";4;"107k";;;
11;"R17,R18,R19,R33,R34,R35,R49,R50,R51,R20,R36,R52";"C_0805_2012Metric";12;"301";;;
12;"U2,U4,U6,U8";"SOIC-14_3.9x8.7mm_P1.27mm";4;"TL074";;;
13;"U1";"WQP-PJ301M-12_JACK";1;"PJ-301BM";;;
14;"C18,C23,C21,C26,C19,C20,C24,C25";"C_0805_2012Metric";8;"100n";;;
15;"J3";"PinHeader_2x05_P2.54mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
16;"J1,J2";"PinHeader_1x01_P2.54mm_Vertical";2;"Conn_01x01";;;
17;"U9,U3,U10,U5,U11,U7,U12,U16,U20";"PJ301M";9;"PJ-301BM";;;
18;"U13,U17,U14,U18,U15,U19";"PJ301M-NG";6;"PJ-301BM";;;
